time,state,head,halted,ones_count,active_left,active_right,support_width,row_mass,row_mass_log10
0,A,0,0,0,0,0,1,183293750,8.263147656523653
1,B,1,0,1,0,1,2,329032479763976,14.5172387705519
2,C,2,0,1,0,2,3,45863852232623876,16.661470529528447
3,C,1,0,2,0,2,3,110549251198572725956,20.043555805246445
4,C,0,0,3,0,2,3,286410004481949082,17.456988184080718
5,A,-1,0,3,-1,2,4,11847174237043856174,19.073614775696036
6,B,0,0,4,-1,2,4,2065225973754647110,18.31496757840665
7,B,1,0,4,-1,2,4,29611979264526243263386,22.471467436600175
8,B,2,0,4,-1,2,4,1437212837566314310093786,24.157521087783454
9,B,3,0,4,-1,3,5,12362891053117800671094608,25.092120042079465
10,C,4,0,4,-1,4,6,249160968014616426001602488,26.39648000948172
11,C,3,0,5,-1,4,6,862616487478018704144354080,26.93581775470524
12,C,2,0,6,-1,4,6,352016940807264616922274610,26.54656356439312
13,A,1,0,6,-1,4,6,2672046228795503981666800180,27.42684396755243
14,H,2,1,6,-1,4,6,15126447370112661409894803550,28.179736940665283
