time,x,symbol,is_head,state,transition_code,residue,prime,exponent,scale_level,term_value,term_log10
0,-12,0,0,,,1,31,3,1,29791,4.474085081502818
0,-11,0,0,,,1,61,3,1,226981,5.355989505032301
0,-10,0,0,,,1,151,3,1,3442951,6.536930841879508
0,-9,0,0,,,1,181,3,1,5929741,6.773035724607554
0,-8,0,0,,,1,211,3,1,9393931,6.972847365893078
0,-7,0,0,,,1,241,3,1,13997521,7.146051127724605
0,-6,0,0,,,1,271,3,1,19902511,7.298907872623217
0,-5,0,0,,,1,331,3,1,36264691,7.559483981327157
0,-4,0,0,,,1,421,3,1,74618461,7.872846287507005
0,-3,0,0,,,1,541,3,1,158340421,8.199591795319709
0,-2,0,0,,,1,571,3,1,186169411,8.269908324737544
0,-1,0,0,,,1,601,3,1,217081801,8.33662341600822
0,0,0,1,A,R,11,11,7,1,19487171,7.289748796107575
0,1,0,0,,,1,631,3,1,251239591,8.400088077732402
0,2,0,0,,,1,661,3,1,288804781,8.460604378456921
0,3,0,0,,,1,691,3,1,329939371,8.518434142122596
0,4,0,0,,,1,751,3,1,423564751,8.626919811012506
0,5,0,0,,,1,811,3,1,533411731,8.727062562633469
1,-12,0,0,,,1,991,4,2,964483090561,11.984294617941101
1,-11,0,0,,,1,1021,4,2,1086683238481,12.036102968347642
1,-10,0,0,,,1,1051,4,2,1220143369201,12.086410864112969
1,-9,0,0,,,1,1171,4,2,1880301880081,12.274227580289452
1,-8,0,0,,,1,1201,4,2,2080520644801,12.318172029611624
1,-7,0,0,,,1,1231,4,2,2296318960321,12.361032211725265
1,-6,0,0,,,1,1291,4,2,2777825555761,12.443704969065681
1,-5,0,0,,,1,1321,4,2,3045168091681,12.483611270458109
1,-4,0,0,,,1,1381,4,2,3637263079921,12.560774714314524
1,-3,0,0,,,1,1471,4,2,4682207873281,12.67045069091012
1,-2,0,0,,,1,1531,4,2,5494153169521,12.739900762793043
1,-1,0,0,,,1,1621,4,2,6904497224881,12.83913205939406
1,0,1,0,,,7,7,5,2,16807,4.225490200071284
1,1,0,1,B,L,11,41,8,2,7984925229121,12.902270853757884
1,2,0,0,,,1,1741,4,2,9187452028561,12.963195084469325
1,3,0,0,,,1,1801,4,2,10520947447201,13.022054851278133
1,4,0,0,,,1,1831,4,2,11239665258721,13.050753377206785
1,5,0,0,,,1,1861,4,2,11994592349041,13.078985492523069
2,-12,0,0,,,1,1951,4,2,14488688572801,13.161029077578073
2,-11,0,0,,,1,2011,4,2,16354914662641,13.213648282386968
2,-10,0,0,,,1,2131,4,2,20622143227921,13.314333798856808
2,-9,0,0,,,1,2161,4,2,21808162146241,13.338619067532965
2,-8,0,0,,,1,2221,4,2,24332920331281,13.386194234193896
2,-7,0,0,,,1,2251,4,2,25674499134001,13.40950198000208
2,-6,0,0,,,1,2281,4,2,27070803167521,13.432501141106595
2,-5,0,0,,,1,2311,4,2,28523300799841,13.455199781916438
2,-4,0,0,,,1,2341,4,2,30033479838961,13.477605654786498
2,-3,0,0,,,1,2371,4,2,31602847532881,13.499726215912753
2,-2,0,0,,,1,2521,4,2,40391630304481,13.606291382705784
2,-1,0,0,,,1,2551,4,2,42348870775201,13.62684183443916
2,0,1,1,A,L,13,13,8,2,815730721,8.911546818454694
2,1,1,0,,,7,37,5,2,69343957,7.841008620334975
2,2,0,0,,,1,2671,4,2,50897394646081,13.706695552085492
2,3,0,0,,,1,2731,4,2,55627148806321,13.745286800558933
2,4,0,0,,,1,2791,4,2,60679130081761,13.783039345954524
2,5,0,0,,,1,2851,4,2,66067651496401,13.81998886923784
3,-12,0,0,,,1,2971,5,3,231479885578703851,17.36451325901832
3,-11,0,0,,,1,3001,5,3,243405270090015001,17.386329977124262
3,-10,0,0,,,1,3061,5,3,268730306822211301,17.429316647986674
3,-9,0,0,,,1,3121,5,3,296120751810639601,17.471468843326665
3,-8,0,0,,,1,3181,5,3,325700440201059901,17.512818345536818
3,-7,0,0,,,1,3271,5,3,374457661357525351,17.57340272062491
3,-6,0,0,,,1,3301,5,3,391947249978916501,17.593227621651558
3,-5,0,0,,,1,3331,5,3,410084319576625651,17.612873163455884
3,-4,0,0,,,1,3361,5,3,428886683801872801,17.632342562347386
3,-3,0,0,,,1,3391,5,3,448372480079077951,17.651638948890433
3,-2,0,0,,,1,3511,5,3,533524229553878551,17.727154147326758
3,-1,0,1,B,L,11,71,9,3,45848500718449031,16.66132513847168
