time,source_state,read_symbol,write_symbol,move,next_state,source_head,next_head,local_word,plaquette_residues,plaquette_sum,plaquette_sum_mod,plaquette_power_sum,plaquette_power_sum_mod,rule_residue,rule_code
0,A,0,1,R,B,0,1,000,"1,11,1,11",1284,24,254066074,4,5,A0->1RB
1,B,0,1,L,A,1,0,100,"7,11,1,13",1802,2,5277142270,10,15,B0->1LA
2,A,1,1,L,B,0,-1,011,"1,13,7,11",2672,2,25465054,4,14,A1->1LB
3,B,0,1,L,A,-1,-2,001,"1,11,7,11",3750,0,104369716,16,17,B0->1LA
4,A,0,1,R,B,-2,-1,001,"1,11,7,13",4862,2,5481976,16,3,A0->1RB
5,B,1,0,L,C,-1,-2,111,"7,13,7,13",760,10,66673150,10,26,B1->0LC
6,C,1,1,L,D,-2,-3,010,"1,13,1,11",13256,26,284017419142,22,10,C1->1LD
7,D,0,1,R,D,-3,-2,001,"1,11,7,13",8342,2,228076966,16,24,D0->1RD
8,D,1,0,R,A,-2,-1,110,"7,13,1,11",9632,2,666898156468,28,25,D1->0RA
9,A,0,1,R,B,-1,0,001,"1,11,7,13",10862,2,1380484006,16,3,A0->1RB
10,B,1,0,L,C,0,-1,111,"7,13,7,13",2320,10,2378542510,10,26,B1->0LC
11,C,1,1,L,D,-1,-2,010,"1,13,1,11",24206,26,1706606285692,22,10,C1->1LD
12,D,0,1,R,D,-2,-1,101,"7,11,7,13",3008,8,4654862752,22,0,D0->1RD
13,D,1,0,R,A,-1,0,110,"7,13,1,11",16352,2,2918801440858,28,25,D1->0RA
14,A,0,1,R,B,0,1,001,"1,11,7,13",17582,2,11746201876,16,3,A0->1RB
15,B,1,0,L,C,1,0,110,"7,13,1,13",18994,4,4429423641568,28,8,B1->0LC
16,C,1,1,L,D,0,-1,010,"1,13,1,11",35666,26,5415723002452,22,10,C1->1LD
17,D,0,1,R,D,-1,0,101,"7,11,7,13",5408,8,32787334342,22,0,D0->1RD
18,D,1,0,R,A,0,1,110,"7,13,1,11",23132,2,7789425282688,28,25,D1->0RA
19,A,0,1,R,B,1,2,000,"1,11,1,11",42864,24,9336580903714,4,5,A0->1RB
20,B,0,1,L,A,2,1,100,"7,11,1,13",25832,2,10845138867370,10,15,B0->1LA
21,A,1,1,L,B,1,0,011,"1,13,7,11",26972,2,74015087704,4,14,A1->1LB
22,B,0,1,L,A,0,-1,101,"7,11,7,13",7688,8,87268368982,22,3,B0->1LA
23,A,1,1,L,B,-1,-2,111,"7,13,7,13",8230,10,122927727670,10,0,A1->1LB
24,B,1,0,L,C,-2,-3,111,"7,13,7,13",8860,10,199478305870,10,26,B1->0LC
25,C,1,1,L,D,-3,-4,010,"1,13,1,11",54806,26,19482012806992,22,10,C1->1LD
26,D,0,1,R,D,-4,-3,001,"1,11,7,13",33182,2,253651231666,16,24,D0->1RD
27,D,1,0,R,A,-3,-2,110,"7,13,1,11",34592,2,23889463992598,28,25,D1->0RA
28,A,0,1,R,B,-2,-1,001,"1,11,7,13",36062,2,345509760526,16,3,A0->1RB
29,B,1,0,L,C,-1,-2,111,"7,13,7,13",12490,10,460281471670,10,26,B1->0LC
30,C,1,1,L,D,-2,-3,010,"1,13,1,11",65546,26,33527084909302,22,10,C1->1LD
31,D,0,1,R,D,-3,-2,101,"7,11,7,13",13748,8,699068811502,22,0,D0->1RD
32,D,1,0,R,A,-2,-1,110,"7,13,1,11",42062,2,40036494291748,28,25,D1->0RA
33,A,0,1,R,B,-1,0,001,"1,11,7,13",43712,2,858925208176,16,3,A0->1RB
34,B,1,0,L,C,0,-1,111,"7,13,7,13",16120,10,982253370250,10,26,B1->0LC
35,C,1,1,L,D,-1,-2,010,"1,13,1,11",76016,26,51818381581102,22,10,C1->1LD
36,D,0,1,R,D,-2,-1,101,"7,11,7,13",17198,8,1598242991542,22,0,D0->1RD
37,D,1,0,R,A,-1,0,110,"7,13,1,11",49652,2,62135709934888,28,25,D1->0RA
38,A,0,1,R,B,0,1,001,"1,11,7,13",51362,2,1930124840536,16,3,A0->1RB
39,B,1,0,L,C,1,0,111,"7,13,7,13",20350,10,2187485903620,10,26,B1->0LC
40,C,1,1,L,D,0,-1,010,"1,13,1,11",87986,26,80392659797182,22,10,C1->1LD
41,D,0,1,R,D,-1,0,101,"7,11,7,13",21488,8,2527898546902,22,0,D0->1RD
42,D,1,0,R,A,0,1,110,"7,13,1,11",57272,2,91637708648248,28,25,D1->0RA
43,A,0,1,R,B,1,2,001,"1,11,7,13",58772,2,2977662228646,16,3,A0->1RB
44,B,1,0,L,C,2,1,110,"7,13,1,13",60214,4,105069496649938,28,8,B1->0LC
45,C,1,1,L,D,1,0,010,"1,13,1,11",97946,26,110762050039642,22,10,C1->1LD
46,D,0,1,R,D,0,1,101,"7,11,7,13",25268,8,4414168717642,22,0,D0->1RD
47,D,1,0,R,A,1,2,110,"7,13,1,11",64082,2,125297386517938,28,25,D1->0RA
48,A,0,1,R,B,2,3,000,"1,11,1,11",104034,24,134022927144154,4,5,A0->1RB
49,B,0,1,L,A,3,2,100,"7,11,1,13",67082,2,144635343165910,10,15,B0->1LA
50,A,1,1,L,B,2,1,011,"1,13,7,11",68522,2,3555216223864,4,14,A1->1LB
51,B,0,1,L,A,1,0,101,"7,11,7,13",29528,8,6937864826032,22,3,B0->1LA
52,A,1,1,L,B,0,-1,111,"7,13,7,13",30850,10,7644272313580,10,0,A1->1LB
53,B,1,0,L,C,-1,-2,111,"7,13,7,13",32320,10,8869013588200,10,26,B1->0LC
54,C,1,1,L,D,-2,-3,110,"7,13,1,13",74284,4,184499707585648,28,26,C1->1LD
55,D,1,0,R,A,-3,-2,111,"7,13,7,13",34390,10,12016914964540,10,23,D1->0RA
56,A,1,1,L,B,-2,-3,010,"1,13,1,11",119186,26,198869320923772,22,26,A1->1LB
57,B,0,1,L,A,-3,-4,101,"7,11,7,13",35498,8,13238028265702,22,3,B0->1LA
58,A,1,1,L,B,-4,-5,011,"1,13,7,11",80222,2,6451997983654,4,14,A1->1LB
59,B,0,1,L,A,-5,-6,001,"1,11,7,11",80760,0,6978098423566,16,17,B0->1LA
60,A,0,1,R,B,-6,-5,001,"1,11,7,13",82652,2,14995200463096,16,3,A0->1RB
61,B,1,0,L,C,-5,-6,111,"7,13,7,13",40300,10,16333067418070,10,26,B1->0LC
62,C,1,1,L,D,-6,-7,010,"1,13,1,11",129896,26,257958321555142,22,10,C1->1LD
63,D,0,1,R,D,-7,-6,001,"1,11,7,13",86822,2,19695639521746,16,24,D0->1RD
64,D,1,0,R,A,-6,-5,110,"7,13,1,11",88382,2,279338261840518,28,25,D1->0RA
65,A,0,1,R,B,-5,-4,001,"1,11,7,13",90242,2,23311276073086,16,3,A0->1RB
66,B,1,0,L,C,-4,-5,111,"7,13,7,13",47230,10,26033679584050,10,26,B1->0LC
