step,clip,score,accuracy,entropy,dominant_share,state_count,rule_count
1.0,2.0,0.7127930214391386,0.8389967637540453,0.42704566439692976,0.6214689265536724,6,41
1.0,2.5,0.7066349322121275,0.8355987055016181,0.44576871189496237,0.6209846650524616,5,54
1.0,3.0,0.7066349322121275,0.8355987055016181,0.44576871189496237,0.6209846650524616,5,54
1.0,1.5,0.7058189611754103,0.8326860841423949,0.43265195241374144,0.6196933010492333,5,60
0.75,1.5,0.6618566244210458,0.781715210355987,0.4908516974624284,0.46230831315577076,7,117
0.75,2.5,0.6496473143991627,0.7708737864077669,0.5065353716365926,0.45246166263115417,6,99
0.75,3.0,0.6496310529314583,0.7708737864077669,0.5066437814212883,0.45246166263115417,6,99
0.75,2.0,0.6495865494593593,0.7707119741100323,0.5058617225837173,0.45246166263115417,6,106
0.5,1.5,0.5711939651574703,0.6914239482200647,0.6071829379314202,0.29152542372881357,8,290
0.5,2.5,0.5699627885588086,0.690453074433657,0.6062279483397216,0.29556093623890234,9,279
0.5,3.0,0.5699627885588086,0.690453074433657,0.6062279483397216,0.29556093623890234,9,279
0.5,2.0,0.5686033835565513,0.6893203883495146,0.6079546351276922,0.29523809523809524,10,292
0.25,1.5,0.5532607615537146,0.6687702265372168,0.656745908606722,0.16997578692493948,15,1340
0.25,2.0,0.5276772357642971,0.6464401294498382,0.694900324328143,0.14527845036319612,17,1525
0.25,2.5,0.5117468624353875,0.6331715210355987,0.7116769007568563,0.1467312348668281,19,1380
0.25,3.0,0.511214549108931,0.6328478964401294,0.7130681589634372,0.1467312348668281,17,1365
