N,n,r,h,h_floor,eps_h,eps_bucket,z_h,modulus,rho_mod,boost_G,boost_primes,family,native_cluster,z_native_i,x,y,z
4,2,1,1.3740403259480107,1,0,0,-0.31909403619476767,210,4,1.0,,spine_none,eps=0;rho210=4,4i,-20.795880017344075,0.39713877053673496,-1.2763761447790707
6,3,1,2.4675856173456734,2,-1,-1,-0.9342590894379015,210,6,2.0,3,cone_3,eps=-1;rho210=6,-1+6i,-3.6761898420007673,0.42170936896495126,-4.599805338286972
8,4,1,1.2213691786204544,1,0,0,-0.20030586949935641,210,8,1.0,,spine_none,eps=0;rho210=8,8i,-20.193820026016112,0.388596015317147,-0.8012234779974257
10,5,2,1.6601898718552883,1,1,1,0.26372872730138003,210,10,1.3333333333333333,5,ring_5,eps=1;rho210=10,1+10i,12.211223237609914,1.915908633670877,-2.802203454523965
12,6,1,2.5659103941172656,2,-1,-1,-0.9775661700901488,210,12,2.0,3,cone_3,eps=-1;rho210=12,-1+12i,-3.2956226793523635,1.0149697849246122,-3.740022431947275
14,7,2,1.592436168948247,1,1,1,0.32297181144557063,210,14,1.2,7,shell_other,eps=1;rho210=14,1+14i,5.1218359833485065,18.280388301232207,-2.3240312779518923
16,8,2,1.3740403259480107,1,1,1,0.5340065897498256,210,16,1.0,,spine_none,eps=1;rho210=16,1+16i,-19.59176003468815,0.35503431560182164,2.1360263589993025
18,9,2,2.844759075082922,2,0,0,-0.500852816396344,210,18,2.0,3,cone_3,eps=0;rho210=18,18i,-3.255773663014965,1.6395989088321337,-2.7350353010864263
20,10,2,1.9616121227831425,1,1,1,0.02740864265104294,210,20,1.3333333333333333,5,ring_5,eps=1;rho210=20,1+20i,11.234558304326232,3.568861423105672,-2.076353531019775
22,11,3,1.688964932637115,1,2,2,1.0087974877005625,210,22,1.1111111111111112,11,shell_other,eps=2;rho210=22,2+22i,4.565551670526427,19.530478014454673,-1.0004665431204747
24,12,3,3.1373945665552387,3,0,0,-0.07756842767031487,210,24,2.0,3,cone_3,eps=0;rho210=24,24i,-3.4279825534131483,2.2471039712636673,-1.936934702535497
26,13,3,1.7639424545326903,1,2,2,0.9306716476902732,210,26,1.0909090909090908,13,shell_other,eps=2;rho210=26,2+26i,4.149235672260041,20.08762296464648,-0.8510004289440538
28,14,2,1.997682119926975,1,1,1,0.001639939288756342,210,28,1.2,7,shell_other,eps=1;rho210=28,1+28i,3.986966018403731,20.4279743562379,-1.712170163550365
30,15,3,4.565377727091596,4,-1,-1,-0.7326234108114569,210,30,2.6666666666666665,"3,5",mobius_3x5,eps=-1;rho210=30,-1+30i,21.71402761174506,4.6572433181124415,0.08564097275557203
