eps_bucket,rho_mod,native_cluster,count,min_N,max_N,mean_r,mean_h,mean_z,mean_boost
>5,36,eps=>5;rho210=36,47,246,9906,119.0,92.78004518137784,2.702640983003786,2.075057793341108
>5,0,eps=>5;rho210=0,46,420,9870,189.7826086956522,149.30714572100015,3.2256989505118714,3.285964168386888
>5,6,eps=>5;rho210=6,46,426,9876,120.95652173913044,93.30357289617581,2.812056700813503,2.062791948255809
>5,18,eps=>5;rho210=18,46,438,9888,119.30434782608695,93.86557752524753,2.5780011112054178,2.0708647289439637
>5,30,eps=>5;rho210=30,46,450,9900,160.6086956521739,125.86883825793949,3.043463249336813,2.7649354476524293
>5,42,eps=>5;rho210=42,46,462,9912,142.43478260869566,113.42870118568574,2.6715232098576505,2.4894527064717558
>5,48,eps=>5;rho210=48,46,468,9918,118.3695652173913,94.573529853913,2.4050326629258207,2.0753915106800926
>5,54,eps=>5;rho210=54,46,474,9924,120.06521739130434,94.51082707229337,2.6028572996171833,2.069204739733853
>5,60,eps=>5;rho210=60,46,480,9930,160.67391304347825,125.88792931122255,3.031871714500249,2.7575317596047877
>5,66,eps=>5;rho210=66,46,486,9936,121.02173913043478,94.97395474996232,2.6318554378731975,2.072848388276806
>5,70,eps=>5;rho210=70,46,490,9940,99.02173913043478,75.90212822848754,2.629977050341433,1.6571387506396362
>5,78,eps=>5;rho210=78,46,288,9948,120.65217391304348,94.55814750006066,2.6415927164685193,2.066151469157382
>5,82,eps=>5;rho210=82,46,502,9952,62.84782608695652,47.417797273059655,2.2435623073144906,1.034065899404291
>5,84,eps=>5;rho210=84,46,504,9954,146.2173913043478,113.75935036571373,2.988430683255643,2.482148288741556
>5,90,eps=>5;rho210=90,46,510,9960,160.80434782608697,126.97408081825102,2.9348449718323657,2.765143396083386
>5,96,eps=>5;rho210=96,46,516,9966,121.65217391304348,95.4302023933217,2.606258529376007,2.075341076041784
>5,102,eps=>5;rho210=102,46,522,9972,120.34782608695652,94.9343270092389,2.561071690207241,2.063886024279475
>5,108,eps=>5;rho210=108,46,528,9978,118.6304347826087,95.44911274395099,2.3122932991975826,2.073358600676978
>5,112,eps=>5;rho210=112,46,532,9982,75.34782608695652,57.27554383505084,2.3530725130106758,1.242865145630575
>5,114,eps=>5;rho210=114,46,324,9984,122.78260869565217,95.24180195296826,2.801374475053141,2.068580216515365
>5,120,eps=>5;rho210=120,46,540,9990,162.2173913043478,127.41551063085127,3.0278884809498248,2.7576276582466672
>5,126,eps=>5;rho210=126,46,546,9996,146.84782608695653,114.7839678059254,2.926147875554079,2.4872964383841607
>5,144,eps=>5;rho210=144,46,354,9804,121.0,93.11610680556687,2.8259791416653903,2.074962277038835
>5,180,eps=>5;rho210=180,46,390,9840,157.0,124.25601223021063,2.857927484812916,2.761414188810954
>5,204,eps=>5;rho210=204,46,414,9864,120.82608695652173,93.47023588489321,2.784280834318155,2.0715267968197333
