N,n,r,h,h_floor,eps_h,z_h,rho30,boost_G,boost_primes,family,z_native_i,x,y,z
4,2,1,1.3740403259480107,1,0,-0.31909403619476767,4,1.0,,spine_none,4i,-20.69788618859366,0.2676522425435433,-1.2763761447790707
6,3,1,2.4675856173456734,2,-1,-0.9342590894379015,6,2.0,3,cone_3,-1+6i,-5.235928295269062,2.3515709068718396,-4.409822558820535
8,4,1,1.2213691786204544,1,0,-0.20030586949935641,8,1.0,,spine_none,8i,-20.046829282890492,-0.041811385307061334,-0.8012234779974257
10,5,2,1.6601898718552883,1,1,0.26372872730138003,10,1.3333333333333333,5,ring_5,1+10i,2.756119802974385,5.618565314914908,-2.5580571148852767
12,6,1,2.5659103941172656,2,-1,-0.9775661700901488,12,2.0,3,cone_3,-1+12i,-8.461242281219324,1.7881971890307686,-3.476544280918028
14,7,2,1.592436168948247,1,1,0.32297181144557063,14,1.2,7,shell_other,1+14i,-5.608849709513847,17.192197809178165,-2.0348808811281662
16,8,2,1.3740403259480107,1,1,0.5340065897498256,16,1.0,,spine_none,1+16i,-19.39577237718732,-0.3912590402935223,2.1360263589993025
18,9,2,2.844759075082922,2,0,-0.500852816396344,18,2.0,3,cone_3,18i,-8.73083780288874,-1.9840698008833897,-2.4285651137163673
20,10,2,1.9616121227831425,1,1,0.02740864265104294,20,1.3333333333333333,5,ring_5,1+20i,2.8980582553822716,-5.372720703796742,-1.758711819818275
22,11,3,1.688964932637115,1,2,1.0087974877005625,22,1.1111111111111112,11,shell_other,2+22i,-0.6143086847200062,10.155243286179786,-0.6666495596503195
24,12,3,3.1373945665552387,3,0,-0.07756842767031487,24,2.0,3,cone_3,24i,-4.88384991097603,-3.435156754005768,-1.599961179943439
26,13,3,1.7639424545326903,1,2,0.9306716476902732,26,1.0909090909090908,13,shell_other,2+26i,3.9615401384627096,11.600263944225144,-0.5003056143871416
28,14,2,1.997682119926975,1,1,0.001639939288756342,28,1.2,7,shell_other,1+28i,5.528344262651321,13.538622552006764,-1.347074549445066
30,15,3,4.565377727091596,4,-1,-0.7326234108114569,0,2.6666666666666665,"3,5",mobius_3x5,-1,24.352130866400024,0.0,0.2707362472282593
32,16,2,1.758771617213454,1,1,0.18189622294870966,2,1.0,,spine_none,1+2i,-18.74471547148415,0.3654181830570404,0.7275848917948387
34,17,4,1.9253275224668602,1,3,1.4951929344611854,4,1.0666666666666667,17,shell_other,3+4i,3.9989353770571863,20.441267675752908,0.4520717876727116
36,18,4,3.7013784260185103,3,1,0.15521705373310582,6,2.0,3,cone_3,1+6i,-4.780873584913071,3.7520852974485255,-0.7959098850321625
38,19,2,2.0073865207606403,2,0,-0.005213440495262135,8,1.0588235294117647,19,shell_other,8i,-0.6265495681841288,21.961220940339594,-0.8887422173999319
