eps_bucket,rho30,native_cluster,count,min_N,max_N,mean_r,mean_h,mean_z,mean_boost
>5,6,eps=>5;rho30=6,154,246,4986,77.17532467532467,59.25275095696799,2.29531047337452,2.128221547365326
>5,0,eps=>5;rho30=0,153,390,4980,101.29411764705883,79.12389434695704,2.449706517302622,2.834093828519708
>5,24,eps=>5;rho30=24,153,324,4974,77.48366013071896,59.39858687531952,2.3226007116124436,2.1312921570158654
>5,18,eps=>5;rho30=18,152,288,4998,76.625,60.07490042660657,2.1013647626270533,2.1311084836785468
>5,12,eps=>5;rho30=12,145,462,4992,78.28275862068965,61.72314267448107,2.082950636294569,2.136244706476096
>5,10,eps=>5;rho30=10,144,490,4990,54.861111111111114,41.214409736742375,2.116728724341641,1.423276848258663
>5,22,eps=>5;rho30=22,143,502,4972,41.74125874125874,30.947852106532036,1.949108455430119,1.0671712100327702
>5,4,eps=>5;rho30=4,139,274,4984,42.431654676258994,31.34181387361269,2.008394209134944,1.0645320444341906
>5,16,eps=>5;rho30=16,137,526,4996,43.11678832116788,31.685844482139537,2.034241140045058,1.066647092878251
>5,20,eps=>5;rho30=20,134,650,5000,54.03731343283582,42.8064744649669,1.7031492968991715,1.4241655614705249
>5,28,eps=>5;rho30=28,134,508,4978,43.014925373134325,31.918505054034892,1.9670552323370587,1.0687117064198106
>5,26,eps=>5;rho30=26,126,746,4976,42.611111111111114,32.943259857012784,1.693700643823782,1.067146643059269
>5,14,eps=>5;rho30=14,123,614,4994,43.31707317073171,33.26575174456676,1.7437672029237907,1.068799979425161
>5,2,eps=>5;rho30=2,103,842,4982,43.13592233009709,34.33491568567081,1.512481356571876,1.0701239823736401
>5,8,eps=>5;rho30=8,93,1118,4988,44.516129032258064,35.784883472801035,1.472686707240493,1.068880637203823
4,2,eps=4;rho30=2,17,422,4532,25.0,21.505559567287783,0.8299963033112059,1.051363183633215
4,14,eps=4;rho30=14,17,254,1964,17.235294117647058,13.620420012420041,1.0336655966916064,1.032142909177846
5,8,eps=5;rho30=8,16,818,4448,33.25,28.64965655926849,0.9055271365956516,1.0474997590267754
1,2,eps=1;rho30=2,15,32,2642,11.4,10.820998913793671,0.20787273105812729,1.0802086097148953
2,8,eps=2;rho30=8,15,218,2048,15.533333333333333,13.834637115513974,0.4940453186042788,1.0586694555384375
3,2,eps=3;rho30=2,13,242,4472,17.692307692307693,15.229934906858336,0.7123619275082098,1.0525019716733526
3,8,eps=3;rho30=8,13,608,4028,23.923076923076923,21.52298534945132,0.5449064687738734,1.0708958246212028
4,8,eps=4;rho30=8,13,638,2978,21.692307692307693,18.239243873242902,0.847874555537856,1.043434234238338
5,4,eps=5;rho30=4,12,334,4294,18.0,13.58370929171184,1.3074083746278038,1.091750376619003
5,14,eps=5;rho30=14,12,644,2804,22.916666666666668,18.388375734929106,1.0901386553780466,1.087326074054628
5,26,eps=5;rho30=26,12,386,2966,19.166666666666668,14.589525561064839,1.2653229722336994,1.0419124913599918
5,28,eps=5;rho30=28,12,298,2218,20.416666666666668,15.816679920514893,1.2310085920022127,1.0190811793058832
3,26,eps=3;rho30=26,11,86,806,9.727272727272727,7.4182923701166965,0.9168830064623736,1.0343503351055114
5,16,eps=5;rho30=16,11,286,2626,19.454545454545453,14.992234205917102,1.2422523817148503,1.0721927941138114
1,8,eps=1;rho30=8,10,158,1718,10.0,9.449414819764408,0.1994761828872269,1.0689269570915712
2,20,eps=2;rho30=20,10,50,860,10.8,9.267398791068853,0.5449609276186174,1.3793556169785557
4,4,eps=4;rho30=4,10,184,1354,12.1,8.49589126318833,1.296614886296178,1.0219397532171166
4,26,eps=4;rho30=26,10,236,2456,17.4,13.783203152988103,1.0451596143788096,1.0799763713810158
5,10,eps=5;rho30=10,10,280,1900,20.3,15.659776527884542,1.233647893710491,1.4013720647429624
5,20,eps=5;rho30=20,9,620,3140,29.77777777777778,25.208350920565135,0.944745079392703,1.3939074011437154
4,16,eps=4;rho30=16,8,196,1426,13.5,10.007061652734574,1.175129331785427,1.0729483937418727
4,28,eps=4;rho30=28,8,268,1258,13.25,9.845310483446637,1.1329396711497879,1.0629690114363899
5,2,eps=5;rho30=2,8,1292,4022,33.25,28.814923522006005,0.8525948484192121,1.0302316749804032
5,22,eps=5;rho30=22,8,142,1732,14.625,10.19781150433003,1.5099692747258586,1.0073863108122798
0,8,eps=0;rho30=8,7,8,398,3.7142857142857144,4.118029403632701,-0.21755259234470034,1.0948428102205348
3,14,eps=3;rho30=14,7,74,584,8.285714285714286,5.988490154440318,1.0015570825301534,1.0138947387569546
3,20,eps=3;rho30=20,7,170,740,13.0,10.359707093832126,0.8467313715681003,1.4268216688384754
4,22,eps=4;rho30=22,6,112,982,12.166666666666666,8.69581016117734,1.2416703297023306,1.0887932614752072
5,12,eps=5;rho30=12,6,282,1422,27.5,22.874689540165495,1.000561176754762,2.0259271592604926
0,2,eps=0;rho30=2,5,152,2672,11.8,12.16273232539891,-0.1160304064002056,1.0604676079185882
2,10,eps=2;rho30=10,5,100,250,7.8,6.093066427993707,0.7066780057731671,1.402891661715191
2,16,eps=2;rho30=16,5,46,556,6.6,4.952314847864382,0.802893342148287,1.0285879344760125
3,16,eps=3;rho30=16,5,76,796,8.4,6.033720308102336,1.0728957252265396,1.0178710935794748
3,18,eps=3;rho30=18,5,168,348,14.2,11.729644157300452,0.7306867596737405,2.156858494075137
3,28,eps=3;rho30=28,5,118,478,8.8,6.372520103046618,1.0159503581254206,1.0979456220081363
4,6,eps=4;rho30=6,5,186,366,15.8,12.219110275205406,1.0390817522075284,2.119620383512844
4,12,eps=4;rho30=12,5,312,912,21.6,18.043652942287743,0.8563128076986262,2.0927337706242373
4,24,eps=4;rho30=24,5,144,534,15.6,11.943698589936563,1.082648640329586,2.112072448624173
1,14,eps=1;rho30=14,4,14,224,4.25,3.5437405850623493,0.38893658284974864,1.1341880341880342
1,26,eps=1;rho30=26,4,56,2936,12.25,11.711199557845415,0.1942317917979639,1.1198847853614347
2,2,eps=2;rho30=2,4,212,2252,13.5,12.471848402209714,0.33723942542813085,1.0361093209926597
2,14,eps=2;rho30=14,4,104,1544,11.75,10.003794904425359,0.6117045862922363,1.0712415604562202
2,18,eps=2;rho30=18,4,78,708,12.75,11.3308506297763,0.44968844727060403,2.0836382399849893
