N,n,r,h,h_floor,eps_h,eps_bucket,z_h,rho30,boost_G,boost_primes,family,native_cluster,z_native_i,x,y,z
4,2,1,1.3740403259480116,1,0,0,-0.31909403619476834,4,1.0,,spine_none,eps=0;rho30=4,4i,-0.6787767139371335,0.5624014915563542,-0.40481425866093246
6,3,1,3.842015585818023,3,-2,-2,-1.449929527092064,6,2.0,3,cone_3,eps=-2;rho30=6,-2+6i,2.644692235453151,1.0421888709199592,-2.422592002754719
8,4,1,2.153339558439683,2,-1,-1,-0.7859608773612804,8,1.0,,spine_none,eps=-1;rho30=8,-1+8i,1.5550630931066582,0.8685172421885803,-1.3650328009545354
10,5,2,3.0933956675156002,3,-1,-1,-0.6216695736582529,10,1.3333333333333333,5,ring_5,eps=-1;rho30=10,-1+10i,2.118868533293501,1.1060959800076753,-1.162663970859127
12,6,1,4.918902075357077,4,-3,-3,-1.7669746672753937,12,2.0,3,cone_3,eps=-3;rho30=12,-3+12i,5.297759342541216,0.2720455203990402,-3.4298910821332016
14,7,2,3.100143594459443,3,-1,-1,-0.6248251028146802,14,1.2,7,shell_other,eps=-1;rho30=14,-1+14i,2.721287551229354,-0.023700059078322178,-1.2282218411874066
16,8,2,2.6972314187998028,2,0,0,-0.42453924594520975,16,1.0,,spine_none,eps=0;rho30=16,16i,1.5006460374925397,-0.5736957095802828,-0.7145909035170327
18,9,2,5.607077937027534,5,-3,-3,-1.523306270204637,18,2.0,3,cone_3,eps=-3;rho30=18,-3+18i,4.775508833508861,-2.3286214290402105,-3.213897232372833
20,10,2,3.8720554861254857,3,-1,-1,-0.9513666663073557,20,1.3333333333333333,5,ring_5,eps=-1;rho30=20,-1+20i,1.8538988568301833,-2.232673673425182,-1.8599978296326896
22,11,3,3.333157401652372,3,0,0,-0.18248263981999246,22,1.1111111111111112,11,shell_other,eps=0;rho30=22,22i,0.1819010514206602,-1.8401624817144269,-0.3231279734450301
24,12,3,6.183433134398055,6,-3,-3,-1.2802090644019506,24,2.0,3,cone_3,eps=-3;rho30=24,-3+24i,1.6728273966756912,-3.158446355200094,-2.896851986996244
26,13,3,3.46935414479319,3,0,0,-0.251985958081017,26,1.0909090909090908,13,shell_other,eps=0;rho30=26,26i,-1.186592920054799,-1.469036521869185,-0.457466392133863
28,14,2,3.919028141226127,3,-1,-1,-0.9693757527605804,28,1.2,7,shell_other,eps=-1;rho30=28,-1+28i,-0.9863264820460309,-1.3573275453651599,-1.9788232149016016
30,15,3,8.930429152196586,8,-5,-5,-1.9844947634747023,0,2.6666666666666665,"3,5",mobius_3x5,eps=-5;rho30=0,-5,0.61022031707218,-1.1906968580848214,-4.677471312680231
32,16,2,3.4296846201799767,3,-1,-1,-0.7719926265368198,2,1.0,,spine_none,eps=-1;rho30=2,-1+2i,-0.8881592270242182,0.24706261163098375,-1.6435452040958818
34,17,4,3.7423028355173207,3,1,1,0.133211026704197,4,1.0666666666666667,17,shell_other,eps=1;rho30=4,1+4i,-1.9165303641490667,1.4465753237575412,0.45117779142963055
36,18,4,7.170553749396208,7,-3,-3,-1.184019274482563,6,2.0,3,cone_3,eps=-3;rho30=6,-3+6i,1.1726207368637955,1.8359999724649496,-2.849922610249807
38,19,2,3.8757727195717937,3,-1,-1,-0.9527984996818154,8,1.0588235294117647,19,shell_other,eps=-1;rho30=8,-1+8i,0.8443846675998588,1.2883694756135637,-2.023697557649026
40,20,3,4.978765796995662,4,-1,-1,-0.8868160534826758,10,1.3333333333333333,5,ring_5,eps=-1;rho30=10,-1+10i,1.7159563649028398,1.3445888604829817,-1.9089504644664381
42,21,4,9.135035980722028,9,-5,-5,-1.6989803653200324,12,2.4,"3,7",shell_other,eps=-5;rho30=12,-5+12i,5.532990509190551,0.7584057735618697,-4.294970876114866
44,22,3,4.307921787727868,4,-1,-1,-0.6301557007583194,14,1.1111111111111112,11,shell_other,eps=-1;rho30=14,-1+14i,2.540745824363788,0.03378234663333163,-1.4294760008928533
46,23,4,4.1347020932846,4,0,0,-0.0662448670436849,16,1.0476190476190477,23,shell_other,eps=0;rho30=16,16i,1.8869904192642342,-0.4408391156492895,-0.12998430678295242
48,24,5,8.0304832996071,8,-3,-3,-1.0694021512510714,18,2.0,3,cone_3,eps=-3;rho30=18,-3+18i,4.0013508025945805,-2.2903842459391694,-2.70968416350775
50,25,4,5.443526008487786,5,-1,-1,-0.6187061913295955,20,1.3333333333333333,5,ring_5,eps=-1;rho30=20,-1+20i,1.69454590724523,-2.32646742479112,-1.4268220887912568
52,26,3,4.526220235418602,4,-1,-1,-0.7173801679814304,22,1.0909090909090908,13,shell_other,eps=-1;rho30=22,-1+22i,0.7663427577265827,-2.444072564937938,-1.6294224082537696
54,27,5,8.4289455416002,8,-3,-3,-1.1810654461562424,24,2.0,3,cone_3,eps=-3;rho30=24,-3+24i,0.7491901842943808,-3.4287051418399264,-2.96429514376023
56,28,3,5.134812597708973,5,-2,-2,-0.9421009851496952,26,1.2,7,shell_other,eps=-2;rho30=26,-2+26i,-0.3839995178716349,-2.179029981313354,-2.2943144937715174
