eps_bucket,rho30,native_cluster,count,min_N,max_N,mean_r,mean_h,mean_z,mean_boost
-5,0,eps=-5;rho30=0,5,30,180,8.8,14.5006684099356,-1.5443875955024495,2.6666666666666665
-1,10,eps=-1;rho30=10,4,10,160,4.75,6.1890824902334165,-0.6110397928591457,1.3333333333333333
0,16,eps=0;rho30=16,4,16,196,5.0,5.325547633647247,-0.16603053796746173,1.076610644257703
-3,18,eps=-3;rho30=18,4,18,108,5.5,8.97643756216386,-1.1932829490856158,2.0454545454545454
0,26,eps=0;rho30=26,4,26,146,5.0,5.41914111751267,-0.18350203841061138,1.041605219722705
-1,2,eps=-1;rho30=2,3,32,92,3.0,4.5440403137535945,-0.7318242671741658,1.0273672687465791
1,4,eps=1;rho30=4,3,34,184,5.666666666666667,5.375003475350558,0.13557428971800964,1.0380952380952382
-4,6,eps=-4;rho30=6,3,66,156,9.0,13.35830604766724,-1.203993067186634,2.268013468013468
-2,8,eps=-2;rho30=8,3,68,188,4.0,6.576599128560503,-1.026415561614219,1.033958633958634
-2,10,eps=-2;rho30=10,3,70,190,6.666666666666667,9.146205141524659,-0.8245759196919559,1.4887700534759356
-3,12,eps=-3;rho30=12,3,12,102,5.0,8.793616284133288,-1.3496236142604758,2.0444444444444443
-1,14,eps=-1;rho30=14,3,14,104,3.3333333333333335,4.520961657226618,-0.5734888827169008,1.134006734006734
-1,20,eps=-1;rho30=20,3,20,170,5.0,6.516187089371535,-0.6518370605968965,1.362962962962963
-2,20,eps=-2;rho30=20,3,80,200,6.0,8.56373361180161,-0.889982059027851,1.382716049382716
0,22,eps=0;rho30=22,3,22,112,5.0,5.176719725529765,-0.08938572465894062,1.1122507122507121
-1,28,eps=-1;rho30=28,3,28,148,3.6666666666666665,5.53788342207342,-0.8127700873873395,1.1132275132275131
0,28,eps=0;rho30=28,3,58,178,5.666666666666667,6.01855768141441,-0.14778322343485156,1.022025049853241
-3,2,eps=-3;rho30=2,2,152,182,5.0,8.476449996279317,-1.1970601701809989,1.1839572192513368
-1,4,eps=-1;rho30=4,2,124,154,6.5,7.736314152083917,-0.4537561081158791,1.1839080459770115
0,4,eps=0;rho30=4,2,4,94,3.0,3.43702776569762,-0.26615047072815345,1.011111111111111
-2,6,eps=-2;rho30=6,2,6,186,7.0,9.72010379658536,-1.0538952412563296,2.0344827586206895
-3,6,eps=-3;rho30=6,2,36,96,5.5,9.018760416929439,-1.1785343343651196,2.0
-1,8,eps=-1;rho30=8,2,8,38,1.5,3.0145561390057383,-0.8693796885215479,1.0294117647058822
-3,8,eps=-3;rho30=8,2,98,128,3.0,6.4100662562516035,-1.3463319193250118,1.1
-4,12,eps=-4;rho30=12,2,162,192,10.5,14.684803408745104,-1.0919982329595346,2.0
-5,12,eps=-5;rho30=12,2,42,132,6.5,11.603188429195704,-1.525456514912075,2.311111111111111
0,14,eps=0;rho30=14,2,134,194,6.5,7.133130872162326,-0.23512182038121615,1.0129554655870445
-1,16,eps=-1;rho30=16,2,136,166,5.5,7.025048994697446,-0.5770199896435697,1.039506172839506
-4,18,eps=-4;rho30=18,2,168,198,13.0,17.238234833199158,-1.020763128270894,2.311111111111111
-1,22,eps=-1;rho30=22,2,52,172,4.5,5.970698624164428,-0.618538460949974,1.057649667405765
-2,24,eps=-2;rho30=24,2,114,144,10.5,12.854164763612662,-0.6573461853558182,2.0588235294117645
-3,24,eps=-3;rho30=24,2,24,54,4.0,7.306189337999127,-1.2306372552790965,2.0
-4,24,eps=-4;rho30=24,2,84,174,9.5,13.682669978492102,-1.136481874411496,2.237037037037037
-4,0,eps=-4;rho30=0,1,120,120,12.0,16.114793308370043,-1.0250278259253551,2.6666666666666665
-2,2,eps=-2;rho30=2,1,122,122,4.0,6.195126537600289,-0.8819307177693165,1.0169491525423728
-2,14,eps=-2;rho30=14,1,164,164,5.0,7.244483938901591,-0.8338976981977076,1.0256410256410255
1,14,eps=1;rho30=14,1,74,74,5.0,4.964024596439339,0.016146883507447717,1.0285714285714285
1,16,eps=1;rho30=16,1,106,106,6.0,5.80478451949329,0.08102540353441129,1.0196078431372548
-5,18,eps=-5;rho30=18,1,138,138,8.0,13.563149598287287,-1.5105686343639055,2.0952380952380953
-3,20,eps=-3;rho30=20,1,140,140,7.0,10.431901735241944,-1.062559113494521,1.5999999999999999
2,22,eps=2;rho30=22,1,142,142,8.0,6.661500179618465,0.5185997406850714,1.0144927536231885
-1,26,eps=-1;rho30=26,1,176,176,7.0,8.139178200517767,-0.3993019095564918,1.1111111111111112
-2,26,eps=-2;rho30=26,1,56,56,3.0,5.134812597708973,-0.9421009851496952,1.2
