eps_bucket,rho30,native_cluster,count,min_N,max_N,mean_r,mean_h,mean_z,mean_boost
1,2,eps=1;rho30=2,5,32,182,3.8,3.342651088660857,0.26612903077652195,1.081628373574604
0,8,eps=0;rho30=8,5,8,128,2.2,2.6401183642319204,-0.2595269081063468,1.0650980392156861
3,26,eps=3;rho30=26,4,86,176,6.0,3.8025222792804256,1.140715081625206,1.0466557247732102
3,4,eps=3;rho30=4,3,34,154,5.666666666666667,3.2369766691726665,1.4269803244705466,1.1333333333333333
1,6,eps=1;rho30=6,3,36,96,5.666666666666667,5.100486942107834,0.2442082296759681,2.074074074074074
1,10,eps=1;rho30=10,3,10,70,3.3333333333333335,2.781310035646813,0.32224073388751107,1.4222222222222223
2,10,eps=2;rho30=10,3,100,190,7.0,5.283694155044528,0.7601357944049042,1.3998811645870468
2,12,eps=2;rho30=12,3,102,192,9.666666666666666,8.050153618917696,0.5678416486778167,2.0444444444444443
1,14,eps=1;rho30=14,3,14,164,3.3333333333333335,2.7052280245678912,0.3911938303619961,1.1122507122507121
3,14,eps=3;rho30=14,3,74,194,6.0,3.70683159770997,1.2121665482502877,1.0181607865818392
2,16,eps=2;rho30=16,3,46,166,5.0,3.461244101613641,0.8705392095882011,1.0422104644326866
1,20,eps=1;rho30=20,3,20,140,4.333333333333333,3.8947820867903893,0.19500153952899776,1.4222222222222223
2,20,eps=2;rho30=20,3,50,200,6.0,4.6720152076580925,0.6219356778474633,1.382716049382716
1,28,eps=1;rho30=28,3,28,148,3.6666666666666665,3.0806506841727277,0.3075703290440424,1.1132275132275131
2,0,eps=2;rho30=0,2,90,150,10.5,9.171299726155558,0.4385757238506094,2.6666666666666665
3,0,eps=3;rho30=0,2,120,180,13.0,10.483773250358723,0.7864529129340894,2.6666666666666665
2,4,eps=2;rho30=4,2,94,124,5.0,3.3588706176917738,0.9045645347874796,1.0283524904214558
1,8,eps=1;rho30=8,2,158,188,5.0,4.374671864223849,0.30282958463429405,1.0176046176046176
1,12,eps=1;rho30=12,2,72,132,7.5,6.659895393733889,0.32998340241178625,2.111111111111111
3,16,eps=3;rho30=16,2,76,106,5.5,3.0566218419253732,1.3945828052082359,1.0392156862745097
1,18,eps=1;rho30=18,2,48,138,6.5,6.045644387045828,0.21202131788014017,2.0476190476190474
2,18,eps=2;rho30=18,2,78,108,7.5,6.2117603824800245,0.5153487097368065,2.090909090909091
3,18,eps=3;rho30=18,2,168,198,13.0,10.262410766224157,0.854843857713111,2.311111111111111
2,22,eps=2;rho30=22,2,22,172,4.5,3.039421729201515,0.8886385859402355,1.067750677506775
3,24,eps=3;rho30=24,2,114,174,10.5,8.028000581585895,0.8854888531743598,2.0958605664488017
3,28,eps=3;rho30=28,2,118,178,6.5,3.954707855043975,1.2859707395342688,1.014519056261343
-1,0,eps=-1;rho30=0,1,30,30,3.0,4.565377727091596,-0.7326234108114569,2.6666666666666665
0,0,eps=0;rho30=0,1,60,60,6.0,6.300885782362677,-0.11986733867373724,2.6666666666666665
0,2,eps=0;rho30=2,1,152,152,4.0,4.209581942903863,-0.1021490608687756,1.0588235294117647
0,4,eps=0;rho30=4,1,4,4,1.0,1.3740403259480107,-0.31909403619476767,1.0
4,4,eps=4;rho30=4,1,184,184,8.0,4.679222368495828,1.5351575498110455,1.0476190476190477
-1,6,eps=-1;rho30=6,1,6,6,1.0,2.4675856173456734,-0.9342590894379015,2.0
2,6,eps=2;rho30=6,1,126,126,10.0,8.535107035004438,0.5014197170300595,2.4
3,6,eps=3;rho30=6,1,156,156,11.0,8.811210290224777,0.7373713426981819,2.1818181818181817
4,6,eps=4;rho30=6,1,186,186,13.0,9.302932974672522,1.212124914873216,2.0689655172413794
3,10,eps=3;rho30=10,1,160,160,8.0,5.467732747314907,1.0829437501979509,1.3333333333333333
-1,12,eps=-1;rho30=12,1,12,12,1.0,2.5659103941172656,-0.9775661700901488,2.0
0,12,eps=0;rho30=12,1,42,42,4.0,4.7633129123299245,-0.34974221237852676,2.4
2,14,eps=2;rho30=14,1,104,104,5.0,3.472280251623942,0.8198535990452865,1.0909090909090908
1,16,eps=1;rho30=16,1,16,16,2.0,1.3740403259480107,0.5340065897498256,1.0
4,16,eps=4;rho30=16,1,196,196,9.0,5.573526591318864,1.4513839864005467,1.2
0,18,eps=0;rho30=18,1,18,18,2.0,2.844759075082922,-0.500852816396344,2.0
3,20,eps=3;rho30=20,1,170,170,9.0,6.051330051857724,1.1986730557235443,1.422222222222222
1,22,eps=1;rho30=22,1,52,52,3.0,2.398693004243832,0.38824772742783176,1.0909090909090908
3,22,eps=3;rho30=22,1,82,82,5.0,2.8590968872600597,1.2661424721958687,1.0256410256410255
4,22,eps=4;rho30=22,1,112,112,7.0,3.9851250943752925,1.5102481681880373,1.2
5,22,eps=5;rho30=22,1,142,142,8.0,3.872178859390792,2.0976989758846267,1.0144927536231885
0,24,eps=0;rho30=24,1,24,24,3.0,3.1373945665552387,-0.07756842767031487,2.0
1,24,eps=1;rho30=24,1,54,54,5.0,4.480738074014569,0.24530799401111672,2.0
2,24,eps=2;rho30=24,1,84,84,8.0,6.779120309310647,0.46890644128319603,2.4
4,24,eps=4;rho30=24,1,144,144,11.0,7.697731182351797,1.1902304404802668,2.0
1,26,eps=1;rho30=26,1,56,56,3.0,2.7378648964741608,0.15842334400292507,1.2
2,26,eps=2;rho30=26,1,26,26,3.0,1.7639424545326903,0.9306716476902732,1.0909090909090908
2,28,eps=2;rho30=28,1,58,58,4.0,2.408384495985236,1.0255934761104004,1.037037037037037
