pair_i,total,eps=>5;rho30=6,eps=>5;rho30=0,eps=>5;rho30=24,eps=>5;rho30=18,eps=>5;rho30=10,eps=>5;rho30=12,eps=>5;rho30=22,eps=>5;rho30=4
17+13i[0],403075,0,403075,0,0,0,0,0,0
29+13i[12],402988,0,0,0,0,0,402988,0,0
29+11i[10],401811,0,0,0,0,401811,0,0,0
7+11i[18],400975,0,0,0,400975,0,0,0,0
29+7i[6],400952,400952,0,0,0,0,0,0,0
23+13i[6],400930,400930,0,0,0,0,0,0,0
17+7i[24],400708,0,0,400708,0,0,0,0,0
29+23i[22],400415,0,0,0,0,0,0,400415,0
17+17i[4],400377,0,0,0,0,0,0,0,400377
7+29i[6],400286,400286,0,0,0,0,0,0,0
