neighborhood,left_state,center_state,right_state,predicted_state,support,rule_accuracy,entropy,next_state_counts
+0.0|+0.0|+0.0,+0.0,+0.0,+0.0,+0.0,1428,0.8585434173669467,0.3674820715421857,+0.0:1226;-1.0:105;+1.0:96;-2.0:1
+0.0|-1.0|+0.0,+0.0,-1.0,+0.0,-1.0,537,0.8119180633147114,0.38442205482680314,-1.0:436;+0.0:95;+1.0:4;-2.0:2
+0.0|+0.0|-1.0,+0.0,+0.0,-1.0,+0.0,536,0.8861940298507462,0.38219883206674377,+0.0:475;-1.0:45;+1.0:16
-1.0|+0.0|+0.0,-1.0,+0.0,+0.0,+0.0,521,0.8598848368522073,0.453716456496116,+0.0:448;+1.0:45;-1.0:28
+0.0|+1.0|+0.0,+0.0,+1.0,+0.0,+1.0,397,0.7783375314861462,0.5115201800247388,+1.0:309;+0.0:85;-1.0:3
+1.0|+0.0|+0.0,+1.0,+0.0,+0.0,+0.0,396,0.9065656565656566,0.3412202246963941,+0.0:359;+1.0:20;-1.0:17
+0.0|+0.0|+1.0,+0.0,+0.0,+1.0,+0.0,383,0.8851174934725848,0.38586760471831905,+0.0:339;-1.0:32;+1.0:12
+0.0|-1.0|+1.0,+0.0,-1.0,+1.0,-1.0,232,0.7974137931034483,0.4911805300981098,-1.0:185;+0.0:45;+1.0:2
+1.0|+0.0|-1.0,+1.0,+0.0,-1.0,+0.0,211,0.9004739336492891,0.3568206422824708,+0.0:190;+1.0:12;-1.0:9
-1.0|-1.0|+0.0,-1.0,-1.0,+0.0,-1.0,211,0.8056872037914692,0.3567995977104556,-1.0:170;+0.0:37;+1.0:2;-2.0:1;<=-2.0:1
-1.0|+1.0|+0.0,-1.0,+1.0,+0.0,+1.0,206,0.7718446601941747,0.5492805040201945,+1.0:159;+0.0:43;-1.0:4
-1.0|+0.0|-1.0,-1.0,+0.0,-1.0,+0.0,200,0.865,0.4384727697709178,+0.0:173;+1.0:18;-1.0:9
+0.0|-1.0|-1.0,+0.0,-1.0,-1.0,-1.0,178,0.7528089887640449,0.5334376895990856,-1.0:134;+0.0:43;+1.0:1
-1.0|+0.0|+1.0,-1.0,+0.0,+1.0,+0.0,82,0.8658536585365854,0.44294195149183835,+0.0:71;-1.0:6;+1.0:5
+1.0|+1.0|+0.0,+1.0,+1.0,+0.0,+1.0,81,0.6666666666666666,0.6594970094333584,+1.0:54;+0.0:25;-1.0:2
+0.0|+1.0|-1.0,+0.0,+1.0,-1.0,+1.0,78,0.7051282051282052,0.6000230385101899,+1.0:55;+0.0:22;-1.0:1
+1.0|+0.0|+1.0,+1.0,+0.0,+1.0,+0.0,76,0.9078947368421053,0.3141741978991921,+0.0:69;-1.0:6;+1.0:1
+1.0|-1.0|-1.0,+1.0,-1.0,-1.0,-1.0,69,0.8840579710144928,0.5175827525559072,-1.0:61;+0.0:8
+0.0|+1.0|+1.0,+0.0,+1.0,+1.0,+1.0,66,0.7575757575757576,0.4805623748493579,+1.0:50;+0.0:14;+2.0:1;-1.0:1
+1.0|-1.0|+0.0,+1.0,-1.0,+0.0,-1.0,56,0.7142857142857143,0.8631205685666311,-1.0:40;+0.0:16
-1.0|+1.0|-1.0,-1.0,+1.0,-1.0,+1.0,51,0.6078431372549019,0.9661773513883509,+1.0:31;+0.0:20
-1.0|+1.0|+1.0,-1.0,+1.0,+1.0,+1.0,42,0.9047619047619048,0.4537163391869449,+1.0:38;+0.0:4
-1.0|-1.0|+1.0,-1.0,-1.0,+1.0,-1.0,36,0.9166666666666666,0.4138168503036338,-1.0:33;+0.0:3
+1.0|-1.0|+1.0,+1.0,-1.0,+1.0,-1.0,31,0.8709677419354839,0.5547781633412736,-1.0:27;+0.0:4
-1.0|-1.0|-1.0,-1.0,-1.0,-1.0,-1.0,27,0.7037037037037037,0.6547614974144041,-1.0:19;+0.0:7;+1.0:1
+1.0|+1.0|-1.0,+1.0,+1.0,-1.0,+1.0,27,0.5185185185185185,0.81846184183375,+1.0:14;+0.0:11;-1.0:2
+1.0|+1.0|+1.0,+1.0,+1.0,+1.0,+0.0,4,0.5,1.0,+0.0:2;+1.0:2
+0.0|-2.0|+0.0,+0.0,-2.0,+0.0,-1.0,3,1.0,0.0,-1.0:3
-2.0|+0.0|+0.0,-2.0,+0.0,+0.0,+0.0,3,1.0,0.0,+0.0:3
+0.0|+0.0|-2.0,+0.0,+0.0,-2.0,+0.0,1,1.0,0.0,+0.0:1
+0.0|-1.0|+2.0,+0.0,-1.0,+2.0,-1.0,1,1.0,0.0,-1.0:1
+0.0|-1.0|-2.0,+0.0,-1.0,-2.0,+0.0,1,1.0,0.0,+0.0:1
+0.0|-1.0|<=-2.0,+0.0,-1.0,<=-2.0,-1.0,1,1.0,0.0,-1.0:1
+1.0|+0.0|-2.0,+1.0,+0.0,-2.0,+0.0,1,1.0,0.0,+0.0:1
+2.0|+0.0|-1.0,+2.0,+0.0,-1.0,+0.0,1,1.0,0.0,+0.0:1
-1.0|+0.0|-2.0,-1.0,+0.0,-2.0,+0.0,1,1.0,0.0,+0.0:1
-1.0|+2.0|+0.0,-1.0,+2.0,+0.0,+1.0,1,1.0,0.0,+1.0:1
-1.0|-2.0|+0.0,-1.0,-2.0,+0.0,-1.0,1,1.0,0.0,-1.0:1
-1.0|<=-2.0|+0.0,-1.0,<=-2.0,+0.0,+0.0,1,1.0,0.0,+0.0:1
-2.0|+0.0|-1.0,-2.0,+0.0,-1.0,+0.0,1,1.0,0.0,+0.0:1
<=-2.0|+0.0|-1.0,<=-2.0,+0.0,-1.0,+0.0,1,1.0,0.0,+0.0:1
