time_index,N_start,N_end,rho30,state_label,cell_total,state_count,state_share,mean_z
0,4,1203,0,-1.0,40,21,0.525,-0.7359800049956331
0,4,1203,2,-1.0,40,14,0.35,-0.953319946807557
0,4,1203,4,+1.0,40,19,0.475,0.8292135525309406
0,4,1203,6,+0.0,40,18,0.45,-0.31782887126039283
0,4,1203,8,-1.0,40,18,0.45,-1.018033073424037
0,4,1203,10,+0.0,40,24,0.6,0.14819059273514396
0,4,1203,12,-1.0,40,21,0.525,-0.9009532058739707
0,4,1203,14,+0.0,40,19,0.475,0.11608466035183704
0,4,1203,16,+1.0,40,16,0.4,0.5811967084139491
0,4,1203,18,-1.0,40,19,0.475,-0.6094148810245373
0,4,1203,20,-1.0,40,21,0.525,-0.5614902940523635
0,4,1203,22,+1.0,40,18,0.45,0.7523434878300443
0,4,1203,24,+0.0,40,25,0.625,-0.06982903609326005
0,4,1203,26,+0.0,40,19,0.475,0.08786018006837412
0,4,1203,28,+1.0,40,16,0.4,0.4426287661182471
1,244,1443,0,-1.0,40,20,0.5,-0.5229577884939864
1,244,1443,2,-1.0,40,15,0.375,-0.9387148956374369
1,244,1443,4,+1.0,40,18,0.45,0.8535601163258949
1,244,1443,6,+0.0,40,21,0.525,-0.13322519050905382
1,244,1443,8,-1.0,40,19,0.475,-0.9987338115524883
1,244,1443,10,+0.0,40,24,0.6,0.3207539902702671
1,244,1443,12,-1.0,40,19,0.475,-0.7121374897285022
1,244,1443,14,+0.0,40,18,0.45,0.13094430727679518
1,244,1443,16,+0.0,40,15,0.375,0.5537542939417905
1,244,1443,18,+0.0,40,18,0.45,-0.4237475889759298
1,244,1443,20,-1.0,40,21,0.525,-0.5790891807148515
1,244,1443,22,+1.0,40,19,0.475,0.7565369788122623
1,244,1443,24,+0.0,40,26,0.65,0.11110087560167581
1,244,1443,26,+0.0,40,20,0.5,-0.023002236159726668
1,244,1443,28,+0.0,40,16,0.4,0.4951217359523861
2,484,1683,0,+0.0,40,19,0.475,-0.36943735344589995
2,484,1683,2,-1.0,40,17,0.425,-0.9541921584781535
2,484,1683,4,+1.0,40,16,0.4,0.8759686145399266
2,484,1683,6,+0.0,40,20,0.5,-0.016043998744836377
2,484,1683,8,-1.0,40,15,0.375,-0.8370435820772979
2,484,1683,10,+0.0,40,21,0.525,0.5063542584591806
2,484,1683,12,+0.0,40,18,0.45,-0.4827110105337763
2,484,1683,14,+0.0,40,16,0.4,0.0025638295655461053
2,484,1683,16,+0.0,40,14,0.35,0.5897250164915786
2,484,1683,18,+0.0,40,20,0.5,-0.32980422792758396
2,484,1683,20,-1.0,40,19,0.475,-0.529101601094565
2,484,1683,22,+1.0,40,23,0.575,0.973425900307971
2,484,1683,24,+0.0,40,26,0.65,0.15712398347645254
2,484,1683,26,+0.0,40,21,0.525,0.048652075985448816
2,484,1683,28,+1.0,40,16,0.4,0.622191638467882
3,724,1923,0,+0.0,40,22,0.55,-0.1827864081182455
3,724,1923,2,-1.0,40,17,0.425,-0.7280047719963948
3,724,1923,4,+1.0,40,15,0.375,0.8889498841691627
3,724,1923,6,+0.0,40,16,0.4,0.06261957929025574
3,724,1923,8,+0.0,40,15,0.375,-0.7256704017801765
3,724,1923,10,+0.0,40,19,0.475,0.3843577206935807
3,724,1923,12,-1.0,40,17,0.425,-0.4526813678322501
3,724,1923,14,+0.0,40,17,0.425,0.023362667031075496
3,724,1923,16,+0.0,40,15,0.375,0.5201562532258527
3,724,1923,18,+0.0,40,20,0.5,-0.23776497134179767
3,724,1923,20,+0.0,40,20,0.5,-0.47161491574541153
3,724,1923,22,+1.0,40,21,0.525,0.8489714558364954
3,724,1923,24,+0.0,40,25,0.625,0.24864719310472855
3,724,1923,26,+0.0,40,20,0.5,0.2601746106747183
3,724,1923,28,+0.0,40,18,0.45,0.47686470303495965
4,964,2163,0,+0.0,40,22,0.55,-0.16674280873723768
4,964,2163,2,-1.0,40,18,0.45,-0.6208236564797821
4,964,2163,4,+1.0,40,17,0.425,1.003050369500624
4,964,2163,6,+0.0,40,17,0.425,0.1489572847608477
4,964,2163,8,+0.0,40,14,0.35,-0.7816736240809503
4,964,2163,10,+0.0,40,18,0.45,0.47820263173265243
4,964,2163,12,-1.0,40,18,0.45,-0.38920837941066894
4,964,2163,14,+0.0,40,17,0.425,-0.18254767063667493
4,964,2163,16,+0.0,40,15,0.375,0.5219213887551698
4,964,2163,18,+0.0,40,21,0.525,-0.20812813363226637
4,964,2163,20,+0.0,40,19,0.475,-0.4050252249416041
4,964,2163,22,+1.0,40,21,0.525,0.7669426913158615
4,964,2163,24,+0.0,40,22,0.55,0.2604424055129751
4,964,2163,26,+0.0,40,21,0.525,0.32492429071663137
4,964,2163,28,+0.0,40,16,0.4,0.5033109999242437
5,1204,2403,0,+0.0,40,22,0.55,-0.14707144022111635
5,1204,2403,2,+0.0,40,19,0.475,-0.4048063051280188
5,1204,2403,4,+1.0,40,17,0.425,1.0456480843547706
5,1204,2403,6,+0.0,40,17,0.425,0.1806527836064138
5,1204,2403,8,-1.0,40,14,0.35,-0.7866666630103387
5,1204,2403,10,+0.0,40,18,0.45,0.4534145780308254
5,1204,2403,12,+0.0,40,17,0.425,-0.20729568054325945
5,1204,2403,14,+0.0,40,16,0.4,-0.20544477425783012
5,1204,2403,16,+1.0,40,17,0.425,0.5525446394601147
5,1204,2403,18,+0.0,40,19,0.475,-0.3650948152685648
5,1204,2403,20,+0.0,40,19,0.475,-0.37345991966054043
5,1204,2403,22,+1.0,40,18,0.45,0.6356473213058196
5,1204,2403,24,+0.0,40,22,0.55,0.1879138761094576
5,1204,2403,26,+0.0,40,19,0.475,0.3662980571038702
5,1204,2403,28,+0.0,40,19,0.475,0.3222860738525152
6,1444,2643,0,+0.0,40,25,0.625,-0.06449337748049717
6,1444,2643,2,+0.0,40,21,0.525,-0.2819107601431815
6,1444,2643,4,+1.0,40,19,0.475,1.105448933567073
6,1444,2643,6,+0.0,40,18,0.45,0.20905531235124525
